sample	summary	reads_total	reads_map_percent	reads_dup_percent	reads_insertsize	bases_total	bases_map_percent	bases_divergent_percent	bases_gc_percent	bases_map_ratio
SKMEL28_SIN3B_KO_C26_N2_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_SIN3B_KO_C26_N2_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_SIN3B_KO_C26_N3_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_SIN3B_KO_C26_N3_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_SIN3B_KO_C26_N3_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_SIN3B_KO_C26_N4_38352_4	fail	fail	pass	pass	pass	fail	pass	pass	pass	pass
SKMEL28_SIN3B_KO_C26_N4_38504_1	fail	fail	pass	pass	pass	fail	pass	pass	pass	pass
SKMEL28_SIN3B_KO_C26_N4_38504_2	fail	fail	pass	pass	pass	fail	pass	pass	pass	pass
SKMEL28_SIN3B_KO_C26_N5_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_SIN3B_KO_C26_N5_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SKMEL28_SIN3B_KO_C26_N5_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
